codigo_cliente;codigo_camion;fecha_entrega;producto;cantidad
604658;TM9;46100;ANT 3000 PET X6;3
604658;TM9;46100;AGU 500 PT X12 ;1
604658;TM9;46100;PEP BLA X6 3L  ;14
604658;TM9;46100;PEP BLA X12 1L ;4
604658;TM9;46100;PEP BLA X12 500;4
604658;TM9;46100;PEP BLA 2L X6  ;7
604658;TM9;46100;ROCK 300 ENE   ;2
604658;TM9;46100;ROC BER 300    ;2
604658;TM9;46100;ANT G 2 X6     ;4
604658;TM9;46100;7UP LIM 1LX12SF;2
604658;TM9;46100;PEP C 500 X12  ;3
604658;TM9;46100;PEP C 1 X12    ;4
604658;TM9;46100;PEP C 2 X6     ;6
604658;TM9;46100;PEP C 3 X6     ;15
604658;TM9;46100;SEV L 3L X6SF  ;10
604658;TM9;46100;SEV L 2L X6S   ;2
604658;TM9;46100;HUA OW X24 300 ;6
604658;TM9;46100;BOC CAN X12 440;18
604658;TM9;46100;HUA CAN X12 269;4
604658;TM9;46100;PAC X12 330 EVE;8
604658;TM9;46100;ROCK 300 ENE   ;2
604658;TM9;46100;PEP C 250 X12  ;24
604658;TM9;46100;PAC 235 EVE NE ;5
604658;TM9;46100;BOT RT X24 235 ;5
604658;TM9;46100;PEP BLA 2L X6  ;1
604658;TM9;46100;PEP C 2 X6     ;3
604658;TM9;46100;SEV L 2L X6S   ;1
604658;TM9;46100;PEP BLA 2L X6  ;5
604658;TM9;46100;GAT MORA X6 400;16
604658;TM9;46100;GAT MORA X6 400;16
604660;TM9;46100;AGUA 2000 PT X6;4
604660;TM9;46100;AGU 500 PT X12 ;4
604660;TM9;46100;PEP BLA X6 3L  ;20
604660;TM9;46100;PEP BLA X12 1L ;5
604660;TM9;46100;PEP BLA X12 500;8
604660;TM9;46100;PEP BLA 2L X6  ;5
604660;TM9;46100;ROCK 300 ENE   ;3
604660;TM9;46100;ROC BER 300    ;2
604660;TM9;46100;ANT G 500 X12  ;6
604660;TM9;46100;ANT G 2 X6     ;6
604660;TM9;46100;PEP C 500 X12  ;12
604660;TM9;46100;PEP C 1 X12    ;8
604660;TM9;46100;PEP C 2 X6     ;4
604660;TM9;46100;PEP C 3 X6     ;14
604660;TM9;46100;SEV L 3L X6SF  ;7
604660;TM9;46100;SEV L 2L X6S   ;3
604660;TM9;46100;HUA OW X24 300 ;14
604660;TM9;46100;BOC CAN X12 440;54
604660;TM9;46100;HUA CAN X12 269;9
604660;TM9;46100;PAC X12 440 EVE;28
604660;TM9;46100;PILSE HUAR X12 ;1
604660;TM9;46100;PAC 235 EVE NE ;7
604660;TM9;46100;BOT. HUARI 620 ;1
604660;TM9;46100;BOT RT X24 235 ;7
604660;TM9;46100;PEP BLA 2L X6  ;1
604660;TM9;46100;PEP C 2 X6     ;3
604660;TM9;46100;SEV L 2L X6S   ;1
604660;TM9;46100;PEP BLA 2L X6  ;4
604660;TM9;46100;GAT MORA X6 400;30
604660;TM9;46100;GATO FR X6 400 ;28
828523;TM9;46100;PEP C 3 X6     ;45
828523;TM9;46100;SEV L 3L X6SF  ;10
828523;TM9;46100;PEP BLA X6 3L  ;10
828523;TM9;46100;PAC CAN X12 440;20
825577;TN1;46100;ROC BER 300    ;4
825577;TN1;46100;ANT G 500 X12  ;8
825577;TN1;46100;ANT G 2 X6     ;6
825577;TN1;46100;7UP LIM 1LX12SF;7
825577;TN1;46100;PEP C 500 X12  ;33
825577;TN1;46100;PEP C 1 X12    ;16
825577;TN1;46100;PEP C 2 X6     ;9
825577;TN1;46100;PEP C 3 X6     ;22
825577;TN1;46100;SEV L 2L X6S   ;2
825577;TN1;46100;ANT 3000 PET X6;2
825577;TN1;46100;AGUA 2000 PT X6;6
825577;TN1;46100;AGU 500 PT X12 ;2
825577;TN1;46100;PEP BLA X6 3L  ;29
825577;TN1;46100;PEP BLA X12 1L ;20
825577;TN1;46100;PEP BLA X12 500;19
825577;TN1;46100;PEP BLA 2L X6  ;9
825577;TN1;46100;ROCK 300 ENE   ;2
825577;TN1;46100;HUA OW X24 300 ;7
825577;TN1;46100;BOC CAN X12 440;17
825577;TN1;46100;HUA CAN X12 269;4
825577;TN1;46100;COR EXT X24 330;5
825577;TN1;46100;ROCK 300 ENE   ;3
825577;TN1;46100;PEP C 250 X12  ;24
825577;TN1;46100;PAC 235 EVE NE ;5
825577;TN1;46100;BOT RT X24 235 ;5
825577;TN1;46100;PEP BLA 2L X6  ;2
825577;TN1;46100;PEP C 2 X6     ;3
825577;TN1;46100;SEV L 2L X6S   ;2
825577;TN1;46100;PEP BLA 2L X6  ;7
825577;TN1;46100;GAT MORA X6 400;30
825577;TN1;46100;GAT MORA X6 400;18
35371;DC1;46100;PAC PI 620 X12 ;0,41
35371;DC1;46100;HUA PI 620 X12 ;80
35371;DC1;46100;PEP C 250 X12  ;1
35436;DC1;46100;PAC CAN X12 440;20
35436;DC1;46100;HUA PI 620 X12 ;10
36528;DC1;46100;PAC CAN X12 440;4
36528;DC1;46100;BOC CAN X12 440;2
36528;DC1;46100;PAC CAN X12 440;4
46221;DC1;46100;PAC CAN X12 440;5
46221;DC1;46100;PAC CAN X12 440;1
68468;DC1;46100;HUA PI 620 X12 ;40
69670;DC1;46100;HUA PI 620 X12 ;2
69670;DC1;46100;HUA PI 620 X12 ;5
69670;DC1;46100;HUA PI 620 X12 ;5
69670;DC1;46100;HUA PI 620 X12 ;10
70712;DC1;46100;HUA PI 620 X12 ;1
70712;DC1;46100;PAC PI 620 X12 ;3
78631;DC1;46100;PAC PI 620 X12 ;1
79666;DC1;46100;HUA PI 620 X12 ;20
79700;DC1;46100;HUA PI 620 X12 ;2
79700;DC1;46100;HUA OW X24 300 ;1
79700;DC1;46100;HUA OW X24 300 ;5
87653;DC1;46100;PAC CAN X12 440;5
89560;DC1;46100;PAC PI 620 X12 ;15
89560;DC1;46100;HUA MIE X24 300;1
89560;DC1;46100;HUA PI 620 X12 ;20
98201;DC1;46100;HUA PI 620 X12 ;23
98201;DC1;46100;HUA OW X24 300 ;22
